;ward;turnout_98;inperson;phone;inperson_rand;phone_rand;age;maj_party;turnout_96
10830;7;0;0;0;1;0;52;0;0
18560;28;0;0;0;1;0;19;0;0
15702;13;0;0;0;1;0;31;0;0
8629;17;0;0;0;1;0;28;1;0
2667;2;0;0;0;1;0;24;1;0
11272;3;0;0;0;1;0;47;1;0
2586;17;1;0;0;1;0;31;1;1
3653;4;0;0;0;1;0;33;1;0
3039;15;1;0;0;1;0;21;1;0
720;25;0;0;0;1;0;30;0;1
16062;12;0;0;0;1;0;85;1;0
17979;19;0;0;0;1;0;37;1;0
19546;3;1;0;0;1;0;69;1;1
15739;27;0;0;0;1;1;32;1;0
7419;28;1;0;0;1;0;83;0;1
12336;26;0;0;0;1;0;93;0;1
322;4;0;0;0;1;0;44;1;1
5219;7;0;0;0;1;0;34;1;1
16216;24;0;0;0;1;0;33;1;0
17339;26;1;0;0;1;0;44;1;1
12944;18;1;0;0;1;0;80;1;1
296;26;0;0;0;1;1;24;1;0
12784;13;1;0;0;1;0;NA;1;1
17174;13;0;0;0;1;0;64;0;1
21394;25;0;0;0;1;0;31;1;0
1966;24;0;0;0;1;1;30;0;0
19323;26;0;0;0;1;0;67;1;0
11304;3;0;0;0;1;0;55;1;0
16469;16;0;0;0;1;0;49;1;0
839;20;0;0;0;1;0;33;1;0
22948;18;1;0;0;1;0;60;0;1
11969;15;1;0;0;1;0;52;1;0
10796;21;1;0;0;1;0;61;1;0
13665;15;0;0;0;1;0;31;1;0
12574;27;1;1;0;1;0;84;1;1
2660;7;0;0;0;1;0;51;1;0
3677;4;0;0;0;1;0;50;1;0
11877;17;1;0;0;1;0;72;1;1
10923;17;0;0;0;1;0;48;0;1
2564;17;1;0;0;1;0;25;1;1
5217;7;1;0;0;1;0;53;1;1
22044;19;1;0;0;1;0;57;1;1
11318;3;0;0;0;1;0;63;1;1
6183;11;0;0;0;1;0;88;1;0
1617;22;1;0;0;1;0;90;1;1
1592;22;1;0;0;1;0;79;1;1
3729;26;1;0;0;1;0;39;1;0
7492;2;1;0;0;1;0;81;1;0
8984;27;0;0;0;1;0;30;1;0
21185;25;1;0;0;1;1;77;0;1
13698;15;0;0;0;1;0;46;1;0
13289;15;0;0;0;1;0;35;0;1
22084;19;0;0;0;1;0;32;0;1
22614;24;1;1;0;1;0;91;1;1
4290;27;0;0;0;1;1;26;1;0
7734;24;1;0;0;1;0;67;1;0
11761;19;0;0;0;1;0;26;1;0
20218;17;1;0;0;1;0;79;1;1
16379;5;0;0;0;1;0;26;0;0
11308;3;1;0;0;1;0;57;1;0
11051;24;1;0;0;1;0;50;1;1
2785;7;0;0;0;1;0;52;1;1
17221;13;1;0;0;1;0;29;1;0
22827;18;1;0;0;1;0;49;1;1
3605;18;0;0;0;1;0;85;0;1
16214;24;1;0;0;1;0;25;0;0
7506;2;0;0;0;1;0;25;1;0
14300;5;0;0;0;1;0;57;1;0
14941;17;0;0;0;1;0;29;0;0
11315;3;0;0;0;1;0;59;1;0
2009;25;1;0;0;1;0;50;1;1
20212;17;0;0;0;1;0;38;1;1
9521;12;1;0;0;1;0;33;0;0
21182;25;1;0;0;1;0;84;0;1
17142;13;0;0;0;1;0;40;0;0
6883;24;1;0;0;1;0;70;1;0
18590;24;0;0;0;1;0;56;0;0
18924;22;0;0;0;1;0;45;0;0
15725;27;0;0;0;1;0;83;1;1
6664;2;1;0;0;1;0;20;0;0
1888;30;0;0;0;1;0;41;1;0
19502;3;0;0;0;1;0;74;1;1
21518;12;0;0;0;1;0;35;1;0
18866;30;0;0;0;1;0;41;1;0
5101;7;1;1;0;1;0;64;1;1
12123;26;1;0;0;1;0;86;1;1
13311;30;0;0;0;1;0;27;1;0
16080;15;1;0;0;1;1;75;0;1
21578;24;1;0;0;1;0;71;1;0
8002;16;0;0;0;1;1;81;1;1
17981;19;0;0;0;1;0;59;0;1
6191;11;0;0;0;1;0;83;1;0
18053;16;1;0;0;1;0;43;1;1
21927;19;1;0;0;1;0;58;1;0
11198;3;0;0;0;1;0;45;1;1
12839;13;0;0;0;1;0;41;1;0
604;19;1;0;0;1;0;82;1;1
16848;13;0;0;0;1;1;53;1;1
18834;30;1;0;0;1;0;32;1;0
22422;22;1;0;0;1;0;40;1;0
15609;21;0;1;0;1;0;21;1;0
22435;21;1;0;0;1;0;55;0;1
11293;3;0;0;0;1;0;82;1;1
11737;17;1;0;0;1;0;54;1;1
12454;5;0;0;0;1;0;30;1;0
951;28;0;0;0;1;0;46;1;1
7765;25;0;0;0;1;0;100;1;1
6670;2;0;0;0;1;0;25;0;1
16143;15;0;0;0;1;0;50;1;0
17166;13;0;0;0;1;0;27;0;1
20107;18;1;0;0;1;0;77;1;0
1616;22;1;0;0;1;0;75;1;1
9678;7;1;1;0;1;0;60;1;1
9310;4;0;0;0;1;0;33;0;0
2913;7;0;0;0;1;0;29;1;0
19479;3;0;0;0;1;0;35;1;0
2045;17;1;0;0;1;0;47;1;1
21555;12;0;0;0;1;0;21;0;0
6673;2;0;0;0;1;0;48;1;0
3264;13;1;0;0;1;0;47;1;1
13792;19;0;0;0;1;0;20;0;0
4360;27;1;0;0;1;0;64;1;0
4664;21;0;0;0;1;0;46;1;0
20264;17;1;0;0;1;0;70;1;1
19704;21;0;0;0;1;1;28;1;0
7418;28;1;0;0;1;0;84;1;1
20999;20;1;0;1;1;1;58;1;1
20739;30;0;0;0;1;0;65;0;1
4053;12;0;0;1;1;1;54;0;0
1581;22;1;0;0;1;0;83;1;1
9556;13;0;0;0;1;0;45;0;0
8994;25;0;0;0;1;0;59;1;0
22933;17;0;0;0;1;0;45;1;0
18832;18;0;0;0;1;1;67;1;1
8179;29;1;1;0;1;0;70;0;0
3169;8;0;0;0;1;0;32;0;1
17521;13;1;0;0;1;0;35;1;1
13391;15;1;0;0;1;0;49;1;1
6457;11;1;1;0;1;0;85;1;1
18843;30;0;0;0;1;0;26;0;0
7954;10;0;0;0;1;0;45;1;0
5067;12;0;0;0;1;0;51;0;0
12782;13;0;1;0;1;0;45;1;0
15285;7;1;1;0;1;0;56;0;0
16717;19;0;0;0;1;0;27;0;1
22325;10;0;0;0;1;0;29;1;0
10828;7;1;0;0;1;0;63;0;0
16575;23;0;0;0;1;0;91;1;0
6367;11;0;0;0;1;0;85;1;0
4859;21;1;1;0;1;0;39;1;0
13112;4;1;1;0;1;0;68;1;1
17162;11;0;1;0;1;0;22;0;0
9885;2;0;0;0;1;0;50;1;0
15544;2;0;1;0;1;0;41;1;0
6369;11;1;1;0;1;0;81;1;1
6196;11;0;1;0;1;0;63;1;0
6026;11;0;0;0;1;0;90;1;0
10599;17;0;0;1;1;1;90;1;0
11432;7;1;1;0;1;0;44;1;0
664;12;0;1;0;1;0;41;0;0
19605;17;1;0;0;1;0;67;0;1
14791;28;1;1;0;1;0;31;0;1
6022;11;0;0;0;1;0;90;0;0
8025;16;1;0;0;1;0;76;1;0
17866;11;0;0;0;1;0;48;0;0
22909;17;0;0;0;1;0;35;0;0
9027;26;1;0;1;1;1;96;1;1
8599;29;0;0;0;1;0;36;0;0
12908;6;0;0;0;1;0;39;1;0
23007;17;0;0;0;1;0;30;1;0
20087;18;0;0;0;1;0;95;1;1
1711;30;1;1;0;1;0;79;1;1
9972;16;1;0;0;1;0;59;1;0
22692;28;0;0;0;1;0;35;0;0
4109;7;1;0;0;1;1;26;0;0
21849;4;0;0;0;1;0;40;1;0
15259;9;1;0;0;1;0;34;1;1
17684;5;0;0;0;1;0;47;1;0
9373;8;0;0;0;1;0;21;0;0
22421;22;1;1;0;1;0;28;1;0
12867;6;0;0;0;1;1;54;1;1
14956;17;1;0;0;1;0;78;1;1
22271;10;0;0;0;1;0;36;1;0
8794;10;1;0;0;1;0;33;1;1
19231;8;0;0;0;1;0;31;0;0
20695;27;0;0;0;1;0;44;1;1
17548;30;0;0;0;1;0;75;1;0
5482;11;0;0;0;1;0;21;1;0
9969;14;0;0;0;1;0;48;1;1
5661;11;0;0;0;1;0;74;1;0
9942;10;0;1;0;1;0;38;0;1
5223;2;1;0;0;1;0;49;1;0
17385;20;0;0;0;1;0;34;1;0
2194;19;1;0;0;1;1;39;0;0
4990;12;1;0;0;1;0;36;1;0
1691;30;1;0;0;1;0;72;1;1
7186;29;0;1;0;1;0;32;0;0
4366;18;0;0;0;1;0;79;1;1
4903;12;0;0;0;1;0;20;0;1
20548;30;0;1;0;1;0;49;0;1
8385;15;0;0;0;1;1;54;1;1
15824;7;1;0;0;1;0;54;1;1
16140;12;1;0;0;1;0;61;1;0
8924;27;1;0;0;1;0;33;0;1
2927;8;0;0;0;1;0;29;1;1
11014;24;1;0;1;1;1;37;0;0
17200;13;1;0;0;1;0;33;1;1
19054;29;1;0;0;1;0;65;1;1
9826;27;1;1;0;1;0;40;1;1
22516;22;1;1;0;1;0;31;1;1
14389;12;1;0;0;1;0;76;0;0
8851;27;0;1;0;1;0;33;0;0
5274;27;0;0;0;1;0;26;0;0
10144;27;0;1;0;1;0;35;0;0
11843;18;1;1;0;1;0;81;1;1
4644;21;0;0;0;1;0;30;1;1
6528;11;1;1;0;1;0;80;0;1
8318;15;0;0;0;1;0;39;1;1
15055;8;1;0;0;1;0;37;0;1
16258;14;0;0;0;1;0;33;1;0
1130;8;0;0;0;1;0;26;0;1
21712;27;1;0;0;1;0;84;0;1
17945;8;0;0;0;1;0;33;0;1
13614;15;0;0;0;1;0;43;1;0
16808;4;0;0;0;1;0;56;1;0
1473;14;1;0;0;1;0;26;0;1
16058;12;0;1;0;1;0;49;1;0
9365;8;0;1;0;1;0;18;0;0
10219;6;0;0;0;1;0;32;1;0
4940;20;0;0;0;1;0;82;1;1
7967;14;1;0;0;1;0;41;1;0
5883;11;1;1;0;1;0;80;1;1
23263;7;1;1;0;1;0;50;1;1
19805;6;1;0;0;1;0;NA;1;1
19683;21;1;1;0;1;0;59;1;0
6286;11;1;1;0;1;0;86;1;1
10939;30;0;0;0;1;0;85;1;1
529;12;0;1;0;1;0;45;1;0
7978;14;0;0;0;1;1;31;1;0
18862;30;0;0;0;1;0;25;1;0
12218;5;0;0;0;1;0;42;1;0
6854;2;0;1;0;1;1;59;1;1
15142;10;1;0;0;1;0;50;0;1
17322;27;0;0;0;1;0;86;0;1
6711;24;1;0;0;1;0;62;0;1
20611;27;0;0;0;1;0;31;1;1
477;14;0;0;0;1;0;26;1;0
12180;23;1;1;0;1;0;64;1;1
5729;11;0;1;0;1;0;79;0;0
1385;12;0;0;0;1;0;43;1;0
2970;22;1;0;0;1;0;56;1;1
7122;20;0;0;0;1;0;26;1;0
10463;6;1;0;0;1;0;64;0;1
6783;24;0;0;0;1;0;24;1;0
7529;24;0;0;0;1;0;34;1;0
8171;29;1;0;0;1;0;79;1;1
9351;8;0;0;0;1;1;25;0;1
12945;18;1;0;0;1;0;60;0;1
21750;27;1;1;0;1;0;38;1;1
110;25;1;1;0;1;0;35;0;1
4473;23;0;1;0;1;0;87;0;1
15456;10;1;0;0;1;0;46;0;1
18694;20;1;0;0;1;0;75;1;1
9;8;0;0;0;1;0;33;1;1
22657;28;0;1;0;1;0;36;1;0
19892;6;0;0;0;1;0;86;1;0
7694;2;1;0;0;1;0;27;0;1
18807;22;0;0;0;1;0;36;1;0
13843;24;1;0;0;1;0;68;1;0
22503;22;0;0;0;1;0;43;1;0
12794;13;0;1;0;1;0;27;1;0
18840;30;0;0;0;1;0;45;1;0
17265;13;1;0;0;1;1;27;1;1
20984;5;1;1;0;1;0;76;1;0
3855;21;0;1;0;1;0;21;0;0
7250;29;1;1;0;1;0;89;1;1
15144;9;0;0;0;1;0;58;0;0
15698;29;0;1;0;1;0;40;1;0
1163;29;0;1;0;1;0;34;1;0
21746;27;1;0;1;1;1;47;1;1
13316;30;0;0;0;1;0;33;1;0
8756;9;0;0;0;1;0;28;1;0
13756;22;0;0;0;1;0;27;1;0
15191;10;1;0;0;1;0;71;1;1
8114;17;1;0;0;1;0;54;1;0
14041;9;0;0;0;1;0;35;0;0
417;22;0;1;0;1;0;46;1;0
21691;29;0;1;0;1;0;33;1;0
3312;14;1;1;0;1;0;55;1;1
45;4;1;0;0;1;1;46;1;0
5025;15;1;0;0;1;0;29;1;0
5778;11;1;1;0;1;0;70;1;1
16336;14;1;0;0;1;0;60;0;1
10001;15;0;0;0;1;0;39;1;0
17758;15;0;0;0;1;0;34;0;1
12455;5;1;0;0;1;0;35;1;0
6431;11;1;0;0;1;0;88;1;1
313;4;0;0;0;1;1;65;1;0
16147;15;1;1;0;1;0;38;1;0
5197;23;0;0;0;1;1;27;1;1
3456;7;0;0;0;1;0;26;0;1
8156;29;0;0;0;1;0;21;1;1
6401;11;1;0;0;1;0;76;1;1
9861;2;1;1;0;1;0;33;1;0
9518;12;0;1;0;1;0;27;0;0
7054;17;1;0;0;1;0;76;1;0
17229;12;0;1;0;1;0;41;1;0
8522;15;0;0;0;1;0;38;0;0
6121;11;0;0;0;1;0;68;1;0
975;28;1;0;0;1;0;45;1;1
8456;14;1;0;0;1;0;51;0;1
4419;23;1;1;0;1;0;79;1;1
14177;23;0;0;0;1;0;70;0;1
14342;18;0;0;0;1;0;78;1;0
1721;30;0;0;0;1;0;77;1;0
4698;19;1;0;0;1;1;19;1;0
10042;14;1;1;0;1;0;84;1;1
22515;19;1;0;0;1;0;36;1;0
13139;10;1;0;0;1;0;33;1;1
16635;4;0;1;0;1;0;33;1;0
5428;8;0;0;0;1;0;49;0;0
6701;24;0;0;0;1;0;42;1;0
1425;17;1;1;0;1;0;74;1;1
6072;11;1;1;1;1;1;80;1;1
8499;16;0;0;0;1;0;36;1;1
15748;13;0;0;0;1;0;33;1;0
22781;16;0;0;0;1;0;31;1;0
14250;15;1;1;0;1;0;50;1;1
10302;18;0;0;0;1;0;34;0;1
10516;29;1;1;0;1;0;71;1;1
19383;18;1;0;0;1;0;70;1;1
19269;3;0;1;0;1;0;41;1;1
15420;9;0;1;0;1;0;77;0;0
20372;4;0;0;0;1;0;24;0;1
23368;7;0;0;0;1;0;26;0;1
18697;20;0;1;0;1;1;84;1;0
15933;2;0;0;0;1;0;22;1;0
4513;26;0;0;0;1;0;27;0;0
5957;11;1;1;0;1;0;88;1;1
11910;21;1;1;0;1;0;76;1;1
11295;3;0;0;0;1;0;40;0;0
15474;9;0;1;0;1;0;88;1;1
9621;23;0;1;0;1;0;34;1;0
13535;2;0;0;0;1;0;22;1;0
7605;2;0;0;0;1;0;31;1;0
192;18;0;0;0;1;0;52;1;0
8462;15;0;1;0;1;0;66;0;1
21798;27;0;0;0;1;0;53;0;0
3439;7;1;0;0;1;0;24;1;0
10746;11;0;1;0;1;0;34;0;0
14465;18;1;0;0;1;0;45;1;1
10170;8;1;0;0;1;0;39;1;1
7708;2;0;1;0;1;0;68;1;0
4949;20;0;1;0;1;0;22;1;0
14936;12;0;0;0;1;0;37;1;0
11755;19;1;0;0;1;0;54;1;0
9327;4;0;1;0;1;1;64;1;1
17425;25;0;0;0;1;0;81;1;1
8862;27;0;0;0;1;0;68;1;1
6269;11;0;1;0;1;0;85;1;0
16934;13;1;0;0;1;0;36;1;0
5009;12;0;0;0;1;0;29;1;0
6095;11;1;1;0;1;0;100;1;1
17448;14;1;0;0;1;0;39;0;0
3926;21;0;1;0;1;0;61;1;1
4942;20;1;0;0;1;1;39;1;0
20928;13;1;0;0;1;0;55;1;0
5858;11;0;1;0;1;0;69;0;0
16303;14;0;0;0;1;0;28;0;1
7650;2;0;0;0;1;0;27;1;0
8476;15;1;1;0;1;0;57;0;1
20105;18;0;1;0;1;0;73;0;1
6125;11;1;1;0;1;0;88;1;1
6441;11;1;1;0;1;0;73;1;1
293;26;0;0;0;1;0;84;1;1
17293;11;1;1;0;1;0;78;1;0
6839;24;0;0;0;1;0;20;1;0
6958;9;0;0;0;1;0;28;1;0
16321;15;0;0;0;1;0;31;0;0
6306;11;1;1;0;1;0;79;0;1
6804;2;0;0;0;1;0;47;1;0
21561;12;0;0;0;1;0;35;1;1
10384;3;0;1;0;1;0;36;0;0
20469;6;0;0;0;1;0;78;1;0
19905;6;1;0;0;1;0;72;1;1
12993;20;1;1;0;1;0;59;1;0
12991;20;0;1;0;1;0;53;1;1
860;17;0;1;0;1;0;47;1;0
2773;24;1;0;0;1;0;47;1;1
8134;17;0;0;0;1;0;87;1;1
8130;17;0;0;0;1;0;88;1;1
6334;11;0;0;0;1;0;81;1;0
23327;7;1;0;0;1;0;61;0;0
1758;30;0;0;0;1;0;43;1;0
1901;30;0;0;0;1;1;30;1;0
11144;6;0;1;0;1;0;35;1;0
5181;2;0;0;0;1;0;24;1;1
16528;15;0;0;0;1;0;77;1;0
5746;11;1;1;0;1;0;58;1;1
22021;9;1;0;0;1;0;35;1;1
6041;11;1;0;0;1;0;79;1;1
1067;8;0;0;0;1;0;36;0;0
22600;24;0;0;0;1;0;39;1;0
17539;10;0;0;0;1;0;36;1;0
5596;11;0;0;0;1;0;31;0;0
9506;12;1;1;0;1;0;54;0;1
21826;28;1;1;0;1;0;41;0;1
1718;30;1;1;0;1;1;47;1;1
15875;7;0;1;0;1;0;80;1;0
11594;28;1;0;0;1;0;41;1;0
3155;8;0;0;0;1;1;45;1;0
21919;10;0;0;0;1;0;36;1;1
10960;30;0;0;0;1;0;39;1;0
21116;22;1;0;0;1;0;62;1;1
5819;11;1;1;0;1;0;86;1;1
1233;29;0;0;0;1;0;63;1;1
1699;30;0;0;0;1;0;79;1;0
9333;8;0;0;0;1;0;27;0;0
1827;30;1;0;0;1;0;41;0;0
14151;12;1;1;0;1;0;66;0;1
6361;11;0;0;0;1;0;81;1;0
1426;17;0;0;0;1;0;46;1;1
2889;8;0;0;0;1;0;28;0;0
10496;29;0;1;0;1;0;NA;1;1
4386;6;0;0;0;1;0;33;1;0
29;4;1;1;0;1;0;78;1;1
1281;16;0;1;0;1;0;38;1;0
1865;30;0;1;0;1;0;26;1;0
22939;17;1;0;0;1;0;64;1;1
14269;18;1;0;0;1;0;83;1;1
9257;11;0;0;0;1;0;65;1;0
7051;17;0;0;0;1;0;21;0;0
21983;10;0;0;0;1;0;33;1;0
8451;14;1;0;0;1;0;79;0;1
14926;12;1;0;0;1;0;76;0;1
19182;10;0;0;0;1;0;86;0;1
3057;17;1;1;0;1;0;86;1;0
19275;3;0;0;0;1;0;86;0;0
22092;26;0;0;0;1;0;37;1;0
7083;17;1;1;0;1;0;71;1;1
2590;17;1;1;1;1;1;69;1;1
16773;19;0;0;0;1;0;35;1;0
6209;11;1;1;0;1;0;75;0;1
14260;18;0;0;0;1;0;NA;1;0
13624;15;0;0;0;1;0;38;1;1
8533;15;1;1;0;1;0;27;1;0
13469;15;0;0;0;1;0;35;1;1
14062;9;0;0;0;1;0;28;1;0
5357;27;0;0;0;1;0;26;0;0
12140;26;0;1;0;1;0;74;0;1
11716;17;0;0;0;1;0;92;1;0
18703;21;0;0;0;1;0;23;1;0
17381;20;0;1;0;1;0;39;1;0
6549;11;1;1;0;1;0;84;1;1
12656;23;1;0;0;1;0;67;1;1
6187;11;0;1;0;1;0;76;1;0
5976;11;1;0;0;1;0;71;1;1
10098;8;0;0;0;1;1;42;0;0
10439;8;0;1;0;1;0;24;1;0
4242;3;0;0;0;1;0;30;1;0
8624;17;0;0;0;1;0;47;1;0
1268;27;0;0;0;1;0;54;1;0
18833;18;0;0;0;1;0;80;1;1
1803;30;0;1;0;1;0;35;1;1
7108;20;0;1;0;1;0;20;1;0
13893;15;1;1;0;1;0;34;1;0
14076;12;1;1;0;1;0;57;1;1
6400;11;0;0;0;1;0;59;1;0
14736;22;0;0;0;1;0;74;1;0
15631;21;0;0;0;1;0;26;1;0
14490;9;0;0;0;1;0;29;1;0
14277;18;1;0;0;1;0;NA;1;1
6626;11;0;1;0;1;0;59;1;0
23380;7;0;1;0;1;1;25;0;1
541;14;1;0;0;1;0;47;1;1
5610;11;1;0;0;1;0;71;0;1
4916;12;0;0;0;1;0;61;1;0
17277;13;1;0;0;1;0;71;1;1
8889;26;0;0;0;1;0;81;1;0
2184;10;0;0;0;1;0;46;1;1
7939;10;1;0;0;1;0;45;1;1
13857;24;0;0;0;1;0;33;1;0
11141;6;0;1;0;1;0;34;0;0
11132;6;0;0;0;1;0;39;1;0
1692;30;1;0;0;1;0;52;1;0
9785;12;0;1;0;1;0;52;0;0
14782;28;0;0;0;1;1;57;0;1
3980;7;0;1;0;1;0;45;0;0
16425;20;1;1;0;1;0;47;1;1
22866;17;0;0;0;1;0;40;1;1
20701;27;0;0;0;1;0;76;1;0
6025;11;0;0;0;1;0;75;0;0
15935;2;0;0;0;1;0;22;1;0
23388;7;1;1;0;1;0;68;1;1
8138;17;0;0;0;1;0;84;1;0
17640;11;0;0;0;1;0;52;1;1
6461;11;1;0;0;1;0;84;1;1
22977;17;0;1;0;1;1;86;1;0
18493;23;0;1;0;1;1;46;1;0
2113;4;1;1;0;1;0;35;1;0
8315;15;0;0;0;1;0;23;1;0
22279;10;0;0;0;1;0;52;1;0
491;14;1;0;0;1;1;34;1;1
9609;23;0;1;0;1;0;73;1;1
15497;9;0;0;0;1;0;89;1;0
18569;23;0;0;0;1;0;22;0;0
9893;28;0;0;0;1;0;78;1;1
21764;27;1;0;0;1;0;39;1;1
17428;10;0;0;0;1;0;22;0;1
9446;14;1;1;0;1;0;34;1;0
7002;17;0;0;0;1;0;NA;1;1
21326;25;1;1;0;1;0;72;0;1
18496;23;1;0;0;1;0;46;1;1
21783;27;0;0;0;1;0;47;1;0
13464;14;0;0;0;1;0;39;1;0
20713;3;0;0;0;1;0;26;0;0
5907;11;0;0;0;1;0;87;1;0
16745;19;0;0;0;1;0;27;0;1
7597;24;1;0;0;1;0;53;1;1
14831;28;1;1;0;1;0;85;1;1
5513;13;1;0;0;1;0;70;0;1
19433;13;0;0;0;1;0;NA;1;0
2039;17;1;1;0;1;0;79;1;1
2823;7;0;0;0;1;0;22;0;1
6017;11;1;1;0;1;0;76;1;1
14;8;0;1;1;1;1;34;1;0
11401;2;1;0;0;1;0;38;1;1
2445;25;1;1;0;1;0;56;0;1
11263;6;0;0;0;1;0;27;1;1
19271;3;1;1;0;1;0;36;1;0
23365;7;0;1;0;1;0;38;0;0
10740;11;0;0;0;1;0;27;1;0
5424;9;0;0;0;1;0;37;0;0
6130;11;0;0;0;1;0;85;1;0
13;8;1;0;0;1;0;33;1;1
15493;9;0;0;0;1;0;48;1;0
3113;6;1;0;0;1;0;71;1;1
20909;8;1;0;0;1;0;74;1;1
6089;11;1;1;0;1;0;76;1;1
13114;4;1;1;0;1;0;32;1;0
5826;11;1;1;0;1;0;75;1;1
7091;17;0;0;0;1;0;86;1;0
19980;6;0;0;0;1;0;96;1;1
18386;21;1;1;0;1;0;68;1;1
19804;6;0;0;0;1;0;81;1;1
15600;21;0;0;0;1;0;37;1;0
5177;2;0;0;0;1;0;33;0;0
6182;11;1;1;0;1;0;83;1;1
22944;18;1;1;0;1;0;59;1;1
17936;8;0;0;0;1;0;28;0;0
4843;21;0;0;0;1;1;23;0;0
7152;24;1;0;0;1;0;28;1;1
7266;23;0;1;0;1;0;51;0;0
20408;9;1;0;0;1;0;43;1;0
12329;17;0;1;0;1;0;82;1;0
9677;23;0;0;0;1;0;23;0;0
5202;2;0;0;0;1;0;24;1;0
8452;14;0;0;0;1;0;63;1;0
15914;7;1;1;1;1;1;65;1;0
8450;14;1;1;0;1;0;86;1;1
21889;19;1;0;0;1;0;67;0;1
17972;19;0;0;0;1;0;47;1;1
7263;29;0;1;0;1;0;45;1;0
5285;9;1;1;0;1;0;39;0;1
15353;9;1;1;0;1;1;23;1;1
22821;18;1;1;0;1;0;61;0;1
23339;22;0;0;0;1;0;34;1;0
7194;28;0;1;0;1;0;35;1;0
6572;11;0;1;0;1;0;86;1;0
6548;11;1;0;0;1;0;73;1;1
10310;17;1;0;0;1;0;80;1;1
9403;8;0;0;0;1;0;25;0;0
11309;3;0;1;0;1;0;69;1;0
234;25;0;1;0;1;0;37;1;0
11518;2;1;1;0;1;0;55;1;1
7785;27;0;0;0;1;0;NA;1;1
13524;26;0;0;0;1;0;68;1;0
6000;11;1;1;0;1;0;73;0;1
10121;27;1;1;0;1;0;55;0;1
1698;30;0;0;0;1;1;54;1;0
14544;18;0;0;0;1;1;31;0;0
5609;11;1;0;0;1;0;67;0;1
3717;4;0;0;0;1;0;25;1;0
21679;28;0;0;0;1;0;53;1;0
4545;5;0;1;0;1;0;42;1;1
6832;23;0;1;0;1;0;35;1;1
5853;11;1;1;0;1;0;71;0;1
12644;9;0;0;0;1;0;58;0;0
1437;9;0;0;0;1;0;27;1;0
2866;24;0;0;0;1;0;36;1;0
8294;14;0;1;0;1;1;38;0;0
10399;8;0;1;0;1;0;37;1;0
20993;20;1;0;0;1;0;48;1;0
901;19;1;1;0;1;0;50;1;1
7871;12;0;0;0;1;1;32;1;0
22116;29;0;1;0;1;0;55;1;1
12155;12;1;0;0;1;0;38;1;0
16754;19;0;0;0;1;0;33;1;1
8641;21;1;0;0;1;0;71;1;1
1748;30;0;0;0;1;0;38;0;0
17386;20;0;1;0;1;0;26;1;0
1867;30;0;0;0;1;0;20;1;0
7279;29;1;0;0;1;0;33;0;1
8139;17;1;0;0;1;0;77;1;0
3930;21;1;0;0;1;0;84;1;1
8355;14;1;0;0;1;0;46;1;1
10745;11;0;1;0;1;0;27;0;0
11472;7;0;0;0;1;0;51;1;0
18222;19;1;0;0;1;0;66;1;1
6534;11;0;0;0;1;0;68;0;0
9367;8;0;0;0;1;0;44;0;0
13483;26;1;0;0;1;0;49;0;1
